code,name,entry_date,entry_price,exit_date,exit_price,shares,pnl_jpy,pnl_pct,hold_days,exit_reason
6758,ソニーグループ,2026-01-05,4062.0,2026-01-14,3905.0,24,-4150.415999999983,-0.04248863179598443,9,stop_loss
9432,NTT,2026-01-05,159.5,2026-02-25,152.0,630,-5117.489999999976,-0.05082624719213588,51,stop_loss
7203,トヨタ自動車,2026-01-05,3488.0,2026-03-06,3515.0,28,363.832000000024,0.00371790822025698,60,max_hold
9434,ソフトバンク,2026-01-05,216.0,2026-03-06,210.60000610351562,465,-2907.735167541483,-0.028892187424647754,60,max_hold
