code,name,market
1401,エムビーエス,Growth
1431,Ｌｉｂ　Ｗｏｒｋ,Growth
1436,グリーンエナ,Growth
1444,ニッソウ,Growth
1447,ＳＡＡＦＨＤ,Growth
2158,ＦＲＯＮＴＥＯ,Growth
2160,ジーエヌアイグループ,Growth
2173,博展,Growth
2195,アミタホールディングス,Growth
2321,ソフトフロン,Growth
2334,イオレ,Growth
2370,メディネット,Growth
2385,総医研ホールディングス,Growth
2388,ウェッジＨＤ,Growth
2438,アスカネット,Growth
2497,ユナイテッド,Growth
2586,フルッタフルッタ,Growth
2934,ジェイフロンティア,Growth
2936,ベースフード,Growth
2937,サンクゼール,Growth
2978,ツクルバ,Growth
2981,ランディックス,Growth
2983,アールプランナー,Growth
2986,ＬＡホールディングス,Growth
2997,ストレージ王,Growth
2998,クリアル,Growth
3063,Ｊグループ,Growth
3070,ジェリビンズ,Growth
3133,海帆,Growth
3140,ＢＲＵＮＯ,Growth
3185,夢展望,Growth
3187,ミラタップ,Growth
3195,ジェネレーションパス,Growth
3224,ゼネラル・オイスター,Growth
3237,イントランス,Growth
3261,グランディーズ,Growth
3300,アンビＤＸ,Growth
3359,ｃｏｔｔａ,Growth
3418,バルニバービ,Growth
3474,Ｇ－ＦＡＣＴＯＲＹ,Growth
3477,フォーライフ,Growth
3479,ティーケーピー,Growth
3491,ＧＡテクノ,Growth
3542,ベガコーポレーション,Growth
3550,スタジオアタオ,Growth
3556,リネットＪ,Growth
3557,Ｕ＆Ｃ,Growth
3558,ジェイドグループ,Growth
3566,ユニフォームネクスト,Growth
3623,ビリングシステム,Growth
3624,アクセルマーク,Growth
3625,テックファム,Growth
3628,データホライゾン,Growth
3645,メディカルネット,Growth
3652,ＤＭＰ,Growth
3653,モルフォ,Growth
3664,ＷＩＺＥ,Growth
3674,オークファン,Growth
3680,ホットリンク,Growth
3691,デジタルプラス,Growth
3692,ＦＦＲＩセキュリティ,Growth
3695,ＧＭＯ－ＰＰ,Growth
3723,日本ファルコム,Growth
3727,アプリックス,Growth
3773,アドバンスト・メディア,Growth
3777,環境フレンド,Growth
3793,ドリコム,Growth
3803,イメージ情報開発,Growth
3807,フィスコ,Growth
3815,メディア工房,Growth
