week,margin_short,margin_long,ratio
2025-05-16,57.6,383.1,6.65
2025-05-23,31.0,347.5,11.21
2025-05-30,26.8,352.3,13.15
2025-06-06,20.6,377.0,18.3
2025-06-13,17.7,389.5,22.01
2025-06-20,17.9,408.3,22.81
2025-07-04,13.4,372.7,27.81
2025-07-11,14.7,377.7,25.69
2025-07-18,14.5,423.4,29.2
2025-07-25,13.9,429.9,30.93
2025-08-01,17.1,450.4,26.34
2025-08-08,12.9,444.5,34.46
2025-08-15,19.5,497.0,25.49
2025-08-22,15.7,428.9,27.32
2025-08-29,16.8,455.0,27.08
2025-09-05,21.7,418.0,19.26
2025-09-12,17.0,427.7,25.16
2025-09-19,28.2,479.9,17.02
2025-09-26,31.5,359.3,11.41
2025-10-03,34.5,302.3,8.76
2025-10-10,34.2,313.9,9.18
2025-10-17,17.6,326.4,18.55
2025-10-24,41.5,328.3,7.91
2025-10-31,27.9,330.0,11.83
2025-11-07,27.0,262.6,9.73
2025-11-14,25.3,367.8,14.54
2025-11-21,35.4,329.8,9.32
2025-11-28,44.7,325.8,7.29
2025-12-05,30.5,354.9,11.64
2025-12-12,28.9,348.3,12.05
2025-12-19,33.1,352.9,10.66
2025-12-26,31.2,352.1,11.29
2026-01-09,26.5,339.9,12.83
2026-01-16,25.2,332.2,13.18
2026-01-23,21.9,347.2,15.85
2026-01-30,26.6,357.1,13.42
2026-02-06,22.6,370.2,16.38
2026-02-13,22.5,366.4,16.28
2026-02-20,12.2,262.6,21.52
2026-02-27,4.0,281.8,70.45
2026-03-06,8.7,279.6,32.14
2026-03-13,10.3,298.4,28.97
2026-03-19,10.2,323.1,31.68
2026-03-20,10200.0,323100.0,31.68
2026-03-27,20.4,289.9,14.21
2026-04-03,20.4,320.8,15.73
2026-04-10,17.7,327.8,18.52
2026-04-17,18.3,374.8,20.48
2026-04-24,3.6,372.0,103.33
2026-05-01,3.6,381.2,105.89
2026-05-15,4.5,397.5,88.33
2026-05-22,10.2,324.1,31.77
2026-05-29,31.7,278.5,8.79
2026-06-05,15.4,279.3,18.14
2026-06-12,9.6,281.5,29.32
2026-06-19,9.9,282.3,28.52
2026-06-26,6.0,312.1,52.02
2026-07-17,4.9,310.8,63.43
2026-07-24,5.6,241.4,43.11
