week,margin_short,margin_long,ratio
2025/12/12,17800.0,307100.0,17.25
2025/12/19,17000.0,300700.0,17.69
2025/12/26,11600.0,303400.0,26.16
2026-05-01,4600.0,293600.0,0.0157
2026/1/16,11200.0,331200.0,29.57
2026/1/23,9500.0,326800.0,34.4
2026/1/30,10000.0,321900.0,32.19
2026/1/9,10900.0,317800.0,29.16
2026/2/13,5500.0,331100.0,60.2
2026/2/20,4000.0,313300.0,78.33
2026/2/27,3900.0,308500.0,79.1
2026/2/6,7000.0,329700.0,47.1
2026/3/13,6200.0,315400.0,50.87
2026/3/20,5800.0,311900.0,53.78
2026/3/27,6000.0,308000.0,51.33
2026/3/6,4800.0,314700.0,65.56
2026/4/10,4900.0,311200.0,63.51
2026/4/17,4700.0,303600.0,64.6
2026/4/24,4600.0,298200.0,64.83
2026/4/3,5600.0,311600.0,55.64
2026/5/1,4600.0,293600.0,63.83
