week,margin_long,margin_short,ratio
2025-05-09,273.9,0.0,
2025-05-16,290.6,0.0,
2025-05-23,292.1,0.0,
2025-05-30,284.2,0.0,
2025-06-06,264.1,0.0,
2025-06-13,250.0,0.0,
2025-06-20,250.6,0.0,
2025-07-04,244.9,0.0,
2025-07-11,243.6,0.0,
2025-07-18,241.9,0.0,
2025-07-25,240.7,0.0,
2025-08-01,251.3,0.0,
2025-08-08,256.9,0.0,
2025-08-15,237.0,0.0,
2025-08-22,253.9,0.0,
2025-08-29,258.1,0.0,
2025-09-05,257.8,0.0,
2025-09-12,236.3,0.0,
2025-09-19,244.6,0.0,
2025-09-26,244.5,0.0,
2025-10-03,231.6,0.0,
2025-10-10,232.3,0.0,
2025-10-17,230.5,0.0,
2025-10-24,232.9,0.0,
2025-10-31,257.6,0.0,
2025-11-07,219.6,0.0,
2025-11-14,213.1,0.0,
2025-11-21,206.6,0.0,
2025-11-28,208.5,0.0,
2025-12-05,203.0,0.0,
2025-12-12,198.6,0.0,
2025-12-19,202.1,0.0,
2025-12-26,207.3,0.0,
2026-01-09,205.4,0.0,
2026-01-16,203.6,0.0,
2026-01-23,207.3,0.0,
2026-01-30,240.7,0.4,601.75
2026-02-06,234.1,0.0,
2026-02-13,227.1,0.0,
2026-02-20,230.3,0.0,
2026-02-27,218.1,0.0,
2026-03-06,205.8,0.0,
2026-03-13,194.7,0.0,
2026-03-19,182.4,0.0,
2026-03-27,182.5,0.0,
2026-04-03,117.4,0.0,
2026-04-10,106.8,0.0,
2026-04-17,83.1,0.0,
2026-04-24,32.7,0.0,
