week,margin_short,margin_long,ratio
2025-05-16,30.6,59.9,1.96
2025-05-23,31.0,71.4,2.3
2025-05-30,27.8,65.2,2.35
2025-06-06,31.5,54.9,1.74
2025-06-13,27.7,52.1,1.88
2025-06-20,27.0,62.6,2.32
2025-07-04,26.1,53.6,2.05
2025-07-11,25.3,48.2,1.91
2025-07-18,31.2,50.5,1.62
2025-07-25,28.2,53.8,1.91
2025-08-01,28.2,52.3,1.85
2025-08-08,23.2,71.3,3.07
2025-08-15,19.8,80.0,4.04
2025-08-22,19.5,60.5,3.1
2025-08-29,24.0,70.9,2.95
2025-09-05,46.0,36.9,0.8
2025-09-12,70.4,28.6,0.41
2025-09-19,133.3,28.6,0.21
2025-09-26,444.0,23.1,0.05
2025-10-03,18.2,31.2,1.71
2025-10-10,14.1,37.2,2.64
2025-10-17,13.3,58.3,4.38
2025-10-24,13.0,55.7,4.28
2025-10-31,12.5,47.0,3.76
2025-11-07,9.4,45.6,4.85
2025-11-14,13.6,150.0,11.03
2025-11-21,17.8,132.5,7.44
2025-11-28,20.5,122.9,6.0
2025-12-05,17.5,50.3,2.87
2025-12-12,16.7,52.7,3.16
2025-12-19,17.5,44.7,2.55
2025-12-26,17.5,44.7,2.55
2026-01-09,16.4,48.1,2.93
2026-01-16,12.8,44.4,3.47
2026-01-23,11.9,51.3,4.31
2026-01-30,11.6,41.5,3.58
2026-02-06,11.8,37.6,3.19
2026-02-13,15.7,51.3,3.27
2026-02-20,24.0,64.4,2.68
2026-02-27,16.1,73.1,4.54
2026-03-06,10.4,47.8,4.6
2026-03-13,8.5,49.9,5.87
2026-03-19,12.7,52.2,4.11
2026-03-27,15.7,41.2,2.62
2026-04-03,14.3,54.6,3.82
2026-04-10,13.5,64.5,4.78
2026-04-17,23.7,42.8,1.81
2026-04-24,38.4,39.3,1.02
2026-05-01,40.8,40.6,1.0
2026-05-15,55.2,58.5,1.06
2026-05-22,30.5,52.1,1.71
2026-05-29,32.5,52.9,1.63
2026-06-05,33.9,61.9,1.83
2026-06-12,24.7,55.5,2.25
2026-07-17,216.3,506.9,2.34
2026-07-24,357.2,513.5,1.44
2026-07-31,374.3,343.5,0.92
