date,open,high,low,close,adj close,volume,dividends,stock splits
2025-12-12,251.0,255.0,247.0,250.0,250.0,468500,0.0,0.0
2025-12-15,249.0,254.0,246.0,248.0,248.0,407300,0.0,0.0
2025-12-16,250.0,255.0,244.0,252.0,252.0,476500,0.0,0.0
2025-12-17,252.0,252.0,240.0,242.0,242.0,753300,0.0,0.0
2025-12-18,241.0,241.0,235.0,237.0,237.0,513800,0.0,0.0
2025-12-19,239.0,247.0,235.0,244.0,244.0,708200,0.0,0.0
2025-12-22,244.0,245.0,231.0,235.0,235.0,659900,0.0,0.0
2025-12-23,235.0,238.0,231.0,237.0,237.0,553900,0.0,0.0
2025-12-24,237.0,239.0,232.0,232.0,232.0,626200,0.0,0.0
2025-12-25,235.0,242.0,234.0,239.0,239.0,962300,0.0,0.0
2025-12-26,241.0,246.0,239.0,240.0,240.0,663000,0.0,0.0
2025-12-29,241.0,250.0,237.0,246.0,246.0,605800,0.0,0.0
2025-12-30,262.0,292.0,255.0,259.0,259.0,5438300,0.0,0.0
2026-01-05,260.0,302.0,258.0,279.0,279.0,3990800,0.0,0.0
2026-01-06,279.0,281.0,266.0,268.0,268.0,1657300,0.0,0.0
2026-01-07,268.0,288.0,262.0,286.0,286.0,1247300,0.0,0.0
2026-01-08,284.0,304.0,284.0,290.0,290.0,1248200,0.0,0.0
2026-01-09,292.0,293.0,282.0,283.0,283.0,665100,0.0,0.0
2026-01-13,286.0,289.0,277.0,286.0,286.0,582400,0.0,0.0
2026-01-14,317.0,325.0,301.0,320.0,320.0,5539400,0.0,0.0
2026-01-15,324.0,386.0,321.0,345.0,345.0,7214000,0.0,0.0
2026-01-16,345.0,353.0,332.0,341.0,341.0,2125800,0.0,0.0
2026-01-19,345.0,346.0,324.0,325.0,325.0,1169400,0.0,0.0
2026-01-20,326.0,327.0,311.0,314.0,314.0,803200,0.0,0.0
2026-01-21,310.0,314.0,304.0,306.0,306.0,695400,0.0,0.0
2026-01-22,309.0,313.0,301.0,303.0,303.0,510900,0.0,0.0
2026-01-23,306.0,322.0,303.0,316.0,316.0,707300,0.0,0.0
2026-01-26,311.0,331.0,309.0,315.0,315.0,483400,0.0,0.0
2026-01-27,312.0,326.0,311.0,318.0,318.0,285900,0.0,0.0
2026-01-28,315.0,315.0,303.0,303.0,303.0,380300,0.0,0.0
2026-01-29,303.0,316.0,301.0,313.0,313.0,350400,0.0,0.0
2026-01-30,310.0,319.0,305.0,315.0,315.0,307400,0.0,0.0
2026-02-02,315.0,315.0,295.0,299.0,299.0,522700,0.0,0.0
2026-02-03,299.0,302.0,290.0,298.0,298.0,451300,0.0,0.0
2026-02-04,295.0,300.0,293.0,298.0,298.0,223200,0.0,0.0
2026-02-05,297.0,303.0,294.0,295.0,295.0,246500,0.0,0.0
2026-02-06,296.0,296.0,282.0,287.0,287.0,494600,0.0,0.0
2026-02-09,289.0,297.0,288.0,292.0,292.0,375000,0.0,0.0
2026-02-10,293.0,306.0,293.0,304.0,304.0,383400,0.0,0.0
2026-02-12,300.0,308.0,299.0,302.0,302.0,288100,0.0,0.0
2026-02-13,300.0,332.0,291.0,315.0,315.0,1727500,0.0,0.0
2026-02-16,323.0,371.0,320.0,360.0,360.0,6399300,0.0,0.0
2026-02-17,344.0,346.0,322.0,330.0,330.0,2209000,0.0,0.0
2026-02-18,325.0,344.0,318.0,333.0,333.0,1413500,0.0,0.0
2026-02-19,341.0,357.0,323.0,351.0,351.0,2482300,0.0,0.0
2026-02-20,383.0,416.0,337.0,349.0,349.0,11795700,0.0,0.0
2026-02-24,331.0,332.0,308.0,317.0,317.0,1847000,0.0,0.0
2026-02-25,322.0,348.0,320.0,345.0,345.0,2018800,0.0,0.0
2026-02-26,345.0,354.0,337.0,343.0,343.0,994300,0.0,0.0
2026-02-27,342.0,370.0,341.0,370.0,370.0,1335400,0.0,0.0
2026-03-02,354.0,363.0,344.0,347.0,347.0,1139600,0.0,0.0
2026-03-03,347.0,354.0,326.0,326.0,326.0,1092800,0.0,0.0
2026-03-04,319.0,330.0,303.0,310.0,310.0,967200,0.0,0.0
2026-03-05,322.0,355.0,320.0,354.0,354.0,1800200,0.0,0.0
2026-03-06,346.0,366.0,342.0,349.0,349.0,2171500,0.0,0.0
2026-03-09,335.0,339.0,319.0,328.0,328.0,988500,0.0,0.0
2026-03-10,332.0,350.0,330.0,349.0,349.0,923500,0.0,0.0
2026-03-11,350.0,355.0,342.0,342.0,342.0,927400,0.0,0.0
2026-03-12,343.0,344.0,325.0,327.0,327.0,707600,0.0,0.0
2026-03-13,321.0,328.0,314.0,325.0,325.0,556700,0.0,0.0
2026-03-16,320.0,346.0,309.0,322.0,322.0,1770100,0.0,0.0
2026-03-17,323.0,332.0,314.0,315.0,315.0,572300,0.0,0.0
2026-03-18,317.0,330.0,312.0,328.0,328.0,468600,0.0,0.0
2026-03-19,320.0,323.0,310.0,312.0,312.0,561200,0.0,0.0
2026-03-23,300.0,304.0,293.0,295.0,295.0,730300,0.0,0.0
2026-03-24,302.0,307.0,296.0,305.0,305.0,407800,0.0,0.0
2026-03-25,303.0,321.0,303.0,315.0,315.0,716400,0.0,0.0
2026-03-26,312.0,324.0,298.0,300.0,300.0,1407100,0.0,0.0
2026-03-27,299.0,312.0,295.0,306.0,306.0,377000,0.0,0.0
2026-03-30,295.0,299.0,289.0,298.0,298.0,306800,0.0,0.0
2026-03-31,299.0,300.0,291.0,292.0,292.0,282700,0.0,0.0
2026-04-01,295.0,308.0,295.0,303.0,303.0,589100,0.0,0.0
2026-04-02,304.0,311.0,292.0,292.0,292.0,391700,0.0,0.0
2026-04-03,296.0,298.0,286.0,288.0,288.0,446900,0.0,0.0
2026-04-06,288.0,290.0,286.0,288.0,288.0,149100,0.0,0.0
2026-04-07,290.0,295.0,285.0,285.0,285.0,314200,0.0,0.0
2026-04-08,292.0,301.0,291.0,300.0,300.0,537800,0.0,0.0
2026-04-09,300.0,300.0,291.0,291.0,291.0,239500,0.0,0.0
2026-04-10,293.0,298.0,290.0,291.0,291.0,195600,0.0,0.0
2026-04-13,291.0,291.0,285.0,289.0,289.0,231900,0.0,0.0
2026-04-14,290.0,294.0,290.0,291.0,291.0,238300,0.0,0.0
2026-04-15,294.0,301.0,294.0,301.0,301.0,327700,0.0,0.0
2026-04-16,300.0,307.0,298.0,302.0,302.0,264900,0.0,0.0
2026-04-17,300.0,305.0,295.0,298.0,298.0,184100,0.0,0.0
2026-04-20,298.0,308.0,296.0,302.0,302.0,251400,0.0,0.0
2026-04-21,303.0,305.0,296.0,300.0,300.0,150700,0.0,0.0
2026-04-22,299.0,300.0,295.0,297.0,297.0,159100,0.0,0.0
2026-04-23,297.0,298.0,289.0,291.0,291.0,191200,0.0,0.0
2026-04-24,290.0,291.0,284.0,285.0,285.0,282300,0.0,0.0
2026-04-27,283.0,285.0,278.0,279.0,279.0,255800,0.0,0.0
2026-04-28,280.0,282.0,277.0,280.0,280.0,131400,0.0,0.0
2026-04-30,275.0,276.0,268.0,269.0,269.0,226100,0.0,0.0
2026-05-01,269.0,274.0,269.0,270.0,270.0,117100,0.0,0.0
2026-05-07,270.0,272.0,267.0,268.0,268.0,174500,0.0,0.0
2026-05-08,265.0,270.0,262.0,268.0,268.0,205700,0.0,0.0
2026-05-11,269.0,271.0,265.0,268.0,268.0,172100,0.0,0.0
2026-05-12,268.0,270.0,261.0,261.0,261.0,201600,0.0,0.0
2026-05-13,262.0,268.0,258.0,266.0,266.0,279800,0.0,0.0
2026-05-14,261.0,265.0,251.0,255.0,255.0,571700,0.0,0.0
2026-05-15,255.0,260.0,251.0,253.0,253.0,258400,0.0,0.0
2026-05-18,255.0,256.0,244.0,247.0,247.0,362400,0.0,0.0
2026-05-19,247.0,262.0,247.0,255.0,255.0,466100,0.0,0.0
2026-05-20,262.0,268.0,244.0,250.0,250.0,1003400,0.0,0.0
2026-05-21,258.0,267.0,253.0,264.0,264.0,612300,0.0,0.0
2026-05-22,261.0,263.0,252.0,259.0,259.0,370400,0.0,0.0
2026-05-25,260.0,262.0,246.0,249.0,249.0,379400,0.0,0.0
2026-05-26,248.0,249.0,244.0,246.0,246.0,241700,0.0,0.0
2026-05-27,246.0,253.0,245.0,250.0,250.0,240400,0.0,0.0
2026-05-28,250.0,257.0,247.0,251.0,251.0,235700,0.0,0.0
2026-05-29,250.0,254.0,248.0,251.0,251.0,216900,0.0,0.0
2026-06-01,250.0,250.0,239.0,240.0,240.0,420200,0.0,0.0
2026-06-02,236.0,238.0,232.0,234.0,234.0,262000,0.0,0.0
2026-06-03,232.0,233.0,228.0,232.0,232.0,386800,0.0,0.0
2026-06-04,229.0,231.0,225.0,227.0,227.0,254900,0.0,0.0
2026-06-05,226.0,236.0,226.0,231.0,231.0,281000,0.0,0.0
2026-06-08,225.0,229.0,223.0,224.0,224.0,256500,0.0,0.0
2026-06-09,225.0,229.0,222.0,222.0,222.0,199600,0.0,0.0
2026-06-10,222.0,222.0,213.0,216.0,216.0,335600,0.0,0.0
2026-06-11,211.0,216.0,210.0,215.0,215.0,266100,0.0,0.0
2026-06-12,213.0,218.0,213.0,213.0,213.0,307400,0.0,0.0
2026-06-15,214.0,222.0,213.0,213.0,213.0,316300,0.0,0.0
2026-06-16,214.0,215.0,210.0,215.0,215.0,175100,0.0,0.0
2026-06-17,216.0,223.0,215.0,219.0,219.0,269100,0.0,0.0
2026-06-18,218.0,224.0,214.0,221.0,221.0,250600,0.0,0.0
2026-06-19,221.0,221.0,207.0,210.0,210.0,387700,0.0,0.0
