week,margin_short,margin_long,ratio
2025-05-16,12.4,825.1,66.54
2025-05-20,24.1,725.5,30.1
2025-05-21,10.2,762.1,74.72
2025-05-22,28.6,723.4,25.29
2025-05-23,1.6,942.0,588.75
2025-05-26,2.5,879.5,351.8
2025-05-27,1.4,831.3,593.79
2025-05-28,0.6,811.2,1352.0
2025-05-29,1.2,822.0,685.0
2025-05-30,1.2,788.5,657.08
2025-06-02,0.3,772.2,2574.0
2025-06-03,0.0,815.6,
2025-06-04,0.0,756.7,
2025-06-05,0.2,762.8,3814.0
2025-06-06,0.0,758.8,
2025-06-09,0.3,808.1,2693.67
2025-06-10,0.0,827.8,
2025-06-11,0.0,845.8,
2025-06-12,0.0,846.4,
2025-06-13,0.0,905.1,
2025-06-16,0.9,850.1,944.56
2025-06-17,0.0,972.2,
2025-06-18,0.4,907.0,2267.5
2025-06-19,0.0,915.3,
2025-06-20,0.6,849.8,1416.33
2025-06-23,0.1,866.6,8666.0
2025-06-24,0.0,1003.2,
2025-06-25,1.1,1110.9,1009.91
2025-06-26,0.5,1207.5,2415.0
2025-06-27,2.0,1131.6,565.8
2025-07-04,6.0,912.6,152.1
2025-07-11,1.2,998.6,832.17
2025-07-18,0.0,983.6,
2025-07-25,0.3,935.5,3118.33
2025-08-01,0.9,831.8,924.22
2025-08-08,3.6,824.7,229.08
2025-08-15,0.5,825.2,1650.4
2025-08-22,0.0,890.5,
2025-08-29,0.1,867.4,8674.0
2025-09-05,0.0,948.1,
2025-09-12,0.0,949.5,
2025-09-19,0.0,955.2,
2025-09-26,0.0,950.3,
2025-10-03,0.0,908.8,
2025-10-10,0.0,946.4,
2025-10-17,0.0,911.2,
2025-10-24,0.0,895.9,
2025-10-31,0.0,869.2,
2025-11-07,0.0,856.6,
2025-11-14,0.0,781.5,
2025-11-21,0.0,767.6,
2025-11-28,0.0,808.0,
2025-12-05,0.0,748.8,
2025-12-12,0.0,719.6,
2025-12-19,0.0,709.6,
2025-12-26,0.0,664.5,
2026-01-09,0.0,648.9,
2026-01-16,0.0,637.8,
2026-01-23,0.0,607.9,
2026-01-30,0.0,603.4,
2026-02-06,0.0,583.0,
2026-02-13,0.0,565.4,
2026-02-20,0.0,534.7,
2026-02-27,0.0,518.6,
2026-03-06,0.0,502.3,
2026-03-13,0.0,503.6,
2026-03-19,0.0,498.7,
2026-03-27,0.0,479.5,
2026-04-03,0.0,469.1,
2026-04-10,0.1,465.9,4659.0
2026-04-17,0.1,462.8,4628.0
2026-04-24,0.0,470.5,
2026-05-01,0.0,467.0,
2026-05-15,0.0,481.1,
2026-05-22,0.0,477.2,
2026-05-29,0.0,439.2,
2026-06-05,0.1,421.1,4211.0
2026-06-12,0.1,407.0,4070.0
2026-06-19,0.1,406.7,4067.0
2026-06-26,0.0,402.2,
