week,margin_short,margin_long,ratio
2025-05-16,208.2,5821.3,27.96
2025-05-23,206.3,6283.3,30.46
2025-05-30,206.3,7163.3,34.72
2025-06-06,198.5,7608.8,38.33
2025-06-13,186.6,8614.8,46.17
2025-06-20,179.9,8218.7,45.68
2025-07-04,224.6,7666.3,34.13
2025-07-11,242.0,7589.2,31.36
2025-07-18,311.0,7264.0,23.36
2025-07-25,311.1,7414.2,23.83
2025-08-01,316.1,7294.4,23.08
2025-08-08,316.1,7402.4,23.42
2025-08-15,316.3,7292.1,23.05
2025-08-22,307.2,8061.5,26.24
2025-08-29,307.3,8573.9,27.9
2025-09-05,307.4,8799.9,28.63
2025-09-12,377.1,9729.7,25.8
2025-09-19,450.9,6808.2,15.1
2025-09-26,452.4,6496.4,14.36
2025-10-03,594.7,6205.4,10.43
2025-10-10,581.7,6278.5,10.79
2025-10-17,581.7,6340.4,10.9
2025-10-24,638.3,6587.9,10.32
2025-10-31,638.6,7425.1,11.63
2025-11-07,638.3,8280.1,12.97
2025-11-14,648.4,8676.0,13.38
2025-11-21,636.2,8308.8,13.06
2025-11-28,634.2,8357.2,13.18
2025-12-05,752.2,8405.9,11.18
2025-12-12,828.4,8497.7,10.26
2025-12-19,827.7,8926.6,10.78
2025-12-26,839.9,8785.6,10.46
2026-01-09,842.9,8133.4,9.65
2026-01-16,838.9,7583.1,9.04
2026-01-23,830.5,7440.7,8.96
2026-01-30,850.5,8580.4,10.09
2026-02-06,855.5,8959.4,10.47
2026-02-13,878.0,8687.1,9.89
2026-02-20,880.2,9468.9,10.76
2026-02-27,880.2,10051.9,11.42
2026-03-06,906.5,9836.3,10.85
2026-03-13,908.9,9863.2,10.85
2026-03-19,910.5,9879.5,10.85
2026-03-20,910500.0,9879500.0,10.85
2026-03-27,931.1,9567.3,10.28
2026-04-03,929.1,8835.9,9.51
2026-04-10,1026.9,8930.2,8.7
2026-04-17,1026.0,8652.8,8.43
2026-04-24,1020.4,8660.9,8.49
2026-05-01,1020.4,8678.8,8.51
2026-05-15,1009.7,9311.6,9.22
2026-05-22,1025.8,9288.4,9.05
2026-05-29,1016.8,9695.9,9.54
2026-06-05,1009.7,10308.2,10.21
2026-06-12,1027.0,10306.2,10.04
2026-06-19,1019.6,11912.3,11.68
2026-06-26,1008.5,11262.4,11.17
2026-07-17,1021.9,9701.7,9.49
2026-07-24,1028.8,9111.7,8.86
2026-07-31,930.4,7236.5,7.78
2026-08-07,910.1,6663.5,7.32
2026-08-14,916.7,6104.0,6.66
