week,margin_short,margin_long,ratio
2025-05-16,0.0,29.1,
2025-05-23,0.0,30.1,
2025-05-30,0.0,30.4,
2025-06-06,0.0,30.4,
2025-06-13,0.0,32.7,
2025-06-20,0.0,33.0,
2025-07-04,0.0,35.0,
2025-07-11,0.0,37.7,
2025-07-18,0.0,33.9,
2025-07-25,0.0,32.2,
2025-08-01,0.0,31.0,
2025-08-08,0.0,21.0,
2025-08-15,0.0,18.4,
2025-08-22,0.0,18.5,
2025-08-29,0.0,50.9,
2025-09-05,0.0,47.6,
2025-09-12,0.0,49.9,
2025-09-19,0.0,49.7,
2025-09-26,0.0,51.2,
2025-10-03,0.0,50.8,
2025-10-10,0.0,54.7,
2025-10-17,0.0,54.7,
2025-10-24,0.0,65.4,
2025-10-31,0.0,67.8,
2025-11-07,0.0,68.2,
2025-11-14,0.0,67.4,
2025-11-21,0.0,70.1,
2025-11-28,0.0,70.4,
2025-12-05,0.0,71.6,
2025-12-12,0.0,72.0,
2025-12-19,0.0,72.0,
2025-12-26,0.0,72.4,
2026-01-09,0.0,71.0,
2026-01-16,0.0,74.5,
2026-01-23,0.0,73.7,
2026-01-30,0.0,73.2,
2026-02-06,0.0,42.8,
2026-02-13,0.0,42.6,
2026-02-20,0.0,42.6,
2026-02-27,0.0,52.3,
2026-03-06,0.0,65.5,
2026-03-13,0.0,66.9,
2026-03-19,0.0,67.7,
2026-03-20,0.0,67700.0,
2026-03-27,0.0,98.1,
2026-04-03,0.0,95.5,
2026-04-10,0.0,106.2,
2026-04-17,0.0,105.6,
2026-04-24,0.0,105.2,
2026-05-01,0.0,106.5,
2026-05-15,0.0,106.7,
2026-05-22,0.0,108.5,
2026-05-29,0.0,111.7,
2026-07-17,0.0,124.7,
2026-07-24,0.0,124.9,
2026-07-31,0.0,118.4,
