date,open,high,low,close,adj close,volume,dividends,stock splits
2025-12-12,823.0,841.0,823.0,835.0,810.2958984375,58200,0.0,0.0
2025-12-15,827.0,859.0,827.0,853.0,827.7633056640625,59900,0.0,0.0
2025-12-16,858.0,862.0,829.0,835.0,810.2958984375,42800,0.0,0.0
2025-12-17,836.0,838.0,822.0,831.0,806.4142456054688,28800,0.0,0.0
2025-12-18,831.0,843.0,823.0,842.0,817.0887451171875,45200,0.0,0.0
2025-12-19,845.0,891.0,845.0,886.0,859.7869873046875,109200,0.0,0.0
2025-12-22,891.0,897.0,877.0,877.0,851.0532836914062,65200,0.0,0.0
2025-12-23,879.0,903.0,877.0,890.0,863.6686401367188,70100,0.0,0.0
2025-12-24,895.0,929.0,894.0,921.0,893.7515258789062,76900,0.0,0.0
2025-12-25,921.0,933.0,903.0,925.0,897.6331787109375,73600,0.0,0.0
2025-12-26,929.0,945.0,923.0,925.0,897.6331787109375,71100,0.0,0.0
2025-12-29,920.0,941.0,920.0,933.0,905.396484375,67900,0.0,0.0
2025-12-30,935.0,939.0,927.0,927.0,899.573974609375,30000,0.0,0.0
2026-01-05,927.0,937.0,911.0,916.0,888.8994140625,59900,0.0,0.0
2026-01-06,928.0,928.0,918.0,918.0,890.8402709960938,35300,0.0,0.0
2026-01-07,913.0,928.0,912.0,916.0,888.8994140625,52100,0.0,0.0
2026-01-08,920.0,970.0,920.0,953.0,924.8047485351562,125700,0.0,0.0
2026-01-09,967.0,984.0,962.0,972.0,943.2426147460938,58700,0.0,0.0
2026-01-13,1000.0,1032.0,1000.0,1020.0,989.822509765625,142900,0.0,0.0
2026-01-14,1019.0,1041.0,1015.0,1041.0,1010.2012329101562,98000,0.0,0.0
2026-01-15,1038.0,1050.0,1027.0,1047.0,1016.023681640625,68800,0.0,0.0
2026-01-16,1051.0,1052.0,1031.0,1050.0,1018.9349365234376,63600,0.0,0.0
2026-01-19,1049.0,1049.0,1019.0,1027.0,996.6154174804688,55300,0.0,0.0
2026-01-20,1038.0,1039.0,1002.0,1010.0,980.1183471679688,71800,0.0,0.0
2026-01-21,998.0,1013.0,990.0,999.0,969.4437866210938,62800,0.0,0.0
2026-01-22,1002.0,1014.0,1002.0,1008.0,978.1775512695312,36400,0.0,0.0
2026-01-23,1006.0,1025.0,1002.0,1006.0,976.2366943359376,32500,0.0,0.0
2026-01-26,1000.0,1000.0,980.0,984.0,954.8875732421876,61400,0.0,0.0
2026-01-27,985.0,985.0,972.0,977.0,948.0946655273438,54100,0.0,0.0
2026-01-28,972.0,972.0,945.0,966.0,937.420166015625,71400,0.0,0.0
2026-01-29,960.0,960.0,928.0,945.0,917.0414428710938,75200,0.0,0.0
2026-01-30,941.0,949.0,920.0,945.0,917.0414428710938,77900,0.0,0.0
2026-02-02,946.0,973.0,928.0,937.0,909.2781372070312,92000,0.0,0.0
2026-02-03,952.0,997.0,952.0,997.0,967.5029907226562,127300,0.0,0.0
2026-02-04,990.0,1044.0,990.0,1044.0,1013.1124267578124,188900,0.0,0.0
2026-02-05,1058.0,1064.0,1020.0,1023.0,992.7337646484376,169800,0.0,0.0
2026-02-06,1015.0,1059.0,995.0,1059.0,1027.668701171875,145100,0.0,0.0
2026-02-09,1142.0,1147.0,1075.0,1093.0,1060.6627197265625,246300,0.0,0.0
2026-02-10,1012.0,1043.0,998.0,1016.0,985.9408569335938,512500,0.0,0.0
2026-02-12,1011.0,1015.0,972.0,995.0,965.5621337890624,351100,0.0,0.0
2026-02-13,985.0,985.0,960.0,963.0,934.5089111328124,185800,0.0,0.0
2026-02-16,968.0,987.0,960.0,971.0,942.272216796875,123400,0.0,0.0
2026-02-17,967.0,970.0,954.0,956.0,927.7160034179688,98500,0.0,0.0
2026-02-18,961.0,968.0,957.0,962.0,933.5384521484376,48500,0.0,0.0
2026-02-19,967.0,984.0,958.0,984.0,954.8875732421876,59800,0.0,0.0
2026-02-20,981.0,990.0,966.0,970.0,941.3018188476562,75400,0.0,0.0
2026-02-24,970.0,973.0,956.0,972.0,943.2426147460938,83700,0.0,0.0
2026-02-25,963.0,963.0,948.0,950.0,921.8934936523438,81100,0.0,0.0
2026-02-26,950.0,965.0,950.0,962.0,933.5384521484376,76300,0.0,0.0
2026-02-27,962.0,986.0,962.0,976.0,947.124267578125,72100,0.0,0.0
2026-03-02,967.0,990.0,953.0,985.0,955.8580322265624,97800,0.0,0.0
2026-03-03,985.0,985.0,950.0,951.0,922.8639526367188,106700,0.0,0.0
2026-03-04,915.0,922.0,855.0,874.0,848.1420288085938,231300,0.0,0.0
2026-03-05,919.0,924.0,911.0,922.0,894.721923828125,82700,0.0,0.0
2026-03-06,910.0,910.0,888.0,900.0,873.372802734375,64600,0.0,0.0
2026-03-09,860.0,860.0,830.0,853.0,827.7633056640625,182600,0.0,0.0
2026-03-10,879.0,886.0,864.0,871.0,845.2307739257812,82400,0.0,0.0
2026-03-11,884.0,897.0,878.0,882.0,855.9053344726562,66000,0.0,0.0
2026-03-12,877.0,878.0,860.0,870.0,844.2603759765625,91200,0.0,0.0
2026-03-13,855.0,856.0,846.0,848.0,822.9112548828125,59600,0.0,0.0
2026-03-16,848.0,860.0,844.0,857.0,831.6449584960938,61300,0.0,0.0
2026-03-17,865.0,871.0,848.0,852.0,826.7929077148438,56700,0.0,0.0
2026-03-18,864.0,890.0,857.0,890.0,863.6686401367188,70500,0.0,0.0
2026-03-19,860.0,867.0,845.0,849.0,823.8816528320312,97600,0.0,0.0
2026-03-23,819.0,820.0,800.0,801.0,777.3018188476562,141000,0.0,0.0
2026-03-24,823.0,826.0,816.0,824.0,799.621337890625,42200,0.0,0.0
2026-03-25,833.0,860.0,833.0,860.0,834.5562133789062,75800,0.0,0.0
2026-03-26,872.0,873.0,836.0,847.0,821.9408569335938,103300,0.0,0.0
2026-03-27,840.0,853.0,838.0,845.0,820.0,39600,0.0,0.0
2026-03-30,808.0,815.0,790.0,806.0,806.0,75900,25.0,0.0
2026-03-31,802.0,814.0,794.0,802.0,802.0,50100,0.0,0.0
2026-04-01,825.0,852.0,823.0,850.0,850.0,66200,0.0,0.0
2026-04-02,850.0,861.0,820.0,824.0,824.0,86200,0.0,0.0
2026-04-03,831.0,841.0,827.0,831.0,831.0,33200,0.0,0.0
2026-04-06,830.0,830.0,817.0,819.0,819.0,82700,0.0,0.0
