week,margin_short,margin_long,ratio
2025-05-16,1429.0,33181.3,23.22
2025-05-23,1429.0,35719.2,25.0
2025-05-30,1429.0,40358.8,28.24
2025-06-06,1397.9,39828.6,28.49
2025-06-13,1355.4,40866.0,30.15
2025-06-20,1301.5,40760.7,31.32
2025-07-04,1272.3,39164.2,30.78
2025-07-11,1311.7,36493.5,27.82
2025-07-18,1313.8,39125.1,29.78
2025-07-25,1314.9,43911.9,33.4
2025-08-01,1328.8,38631.7,29.07
2025-08-08,1303.4,43529.7,33.4
2025-08-15,1295.3,35938.8,27.75
2025-08-22,1241.6,35075.9,28.25
2025-08-29,1242.6,35394.3,28.48
2025-09-05,1748.8,38393.7,21.95
2025-09-12,1315.2,38198.5,29.04
2025-09-19,1331.5,38047.6,28.57
2025-09-26,1334.9,36312.4,27.2
2025-10-03,1334.9,33830.0,25.34
2025-10-10,1334.9,35423.8,26.54
2025-10-17,1334.9,34579.6,25.9
2025-10-24,1334.9,34409.6,25.78
2025-10-31,1334.9,37674.1,28.22
2025-11-07,1334.9,40336.2,30.22
2025-11-14,1342.0,38904.0,28.99
2025-11-21,1318.9,38060.4,28.86
2025-11-28,1318.9,36928.1,28.0
2025-12-05,1318.9,34182.9,25.92
2025-12-12,1323.6,34338.9,25.94
2025-12-19,1264.6,32775.6,25.92
2025-12-26,1372.5,32060.6,23.36
2026-01-09,1372.5,32578.4,23.74
2026-01-16,1357.3,32467.7,23.92
2026-01-23,1320.2,32839.3,24.87
2026-01-30,1320.2,32380.8,24.53
2026-02-06,1327.6,29502.6,22.22
2026-02-13,1348.5,28995.4,21.5
2026-02-20,1350.5,25419.7,18.82
2026-02-27,1334.7,25948.3,19.44
2026-03-06,1357.6,25631.6,18.88
2026-03-13,1379.1,25796.8,18.71
2026-03-19,1383.2,25857.6,18.69
2026-03-27,1417.8,24240.3,17.1
2026-04-03,1417.8,23903.2,16.86
2026-04-10,1426.7,23654.9,16.58
2026-04-17,1391.6,23353.6,16.78
2026-04-24,1391.6,23792.4,17.1
2026-05-01,1391.6,23216.0,16.68
2026-05-15,1384.4,23359.9,16.87
2026-05-22,1384.4,22841.6,16.5
2026-05-29,1384.4,22717.9,16.41
2026-06-05,1384.4,22401.9,16.18
2026-06-12,1416.3,22057.1,15.57
2026-06-19,1348.6,22072.8,16.37
2026-06-26,1112.0,22126.5,19.9
2026-07-17,1008.3,21880.9,21.7
2026-07-24,1008.3,21869.7,21.69
2026-07-31,576.5,21610.2,37.49
2026-08-07,286.8,21399.8,74.62
2026-08-14,300.1,21144.0,70.46
2026-08-21,298.1,19475.3,65.33
2026-08-28,0.0,18897.2,
