date,open,high,low,close,adj close,volume,dividends,stock splits
2025-12-01,360.0,360.0,358.0,360.0,352.9102783203125,23200,0.0,0.0
2025-12-02,360.0,360.0,357.0,358.0,350.9496765136719,18200,0.0,0.0
2025-12-03,359.0,360.0,356.0,358.0,350.9496765136719,24600,0.0,0.0
2025-12-04,358.0,360.0,358.0,358.0,350.9496765136719,12200,0.0,0.0
2025-12-05,358.0,360.0,357.0,357.0,349.9693603515625,7800,0.0,0.0
2025-12-08,357.0,359.0,357.0,357.0,349.9693603515625,14500,0.0,0.0
2025-12-09,358.0,358.0,354.0,357.0,349.9693603515625,21100,0.0,0.0
2025-12-10,356.0,357.0,355.0,357.0,349.9693603515625,18600,0.0,0.0
2025-12-11,356.0,357.0,354.0,356.0,348.9890441894531,20100,0.0,0.0
2025-12-12,355.0,356.0,355.0,356.0,348.9890441894531,21400,0.0,0.0
2025-12-15,358.0,360.0,356.0,360.0,352.9102783203125,36300,0.0,0.0
2025-12-16,360.0,360.0,356.0,359.0,351.9299621582031,23600,0.0,0.0
2025-12-17,359.0,359.0,356.0,358.0,350.9496765136719,17500,0.0,0.0
2025-12-18,357.0,360.0,357.0,357.0,349.9693603515625,24000,0.0,0.0
2025-12-19,357.0,359.0,357.0,358.0,350.9496765136719,14500,0.0,0.0
2025-12-22,360.0,360.0,358.0,360.0,352.9102783203125,51600,0.0,0.0
2025-12-23,360.0,361.0,358.0,360.0,352.9102783203125,44300,0.0,0.0
2025-12-24,360.0,363.0,360.0,360.0,352.9102783203125,27200,0.0,0.0
2025-12-25,361.0,362.0,358.0,361.0,353.8905944824219,44400,0.0,0.0
2025-12-26,363.0,363.0,359.0,361.0,353.8905944824219,42100,0.0,0.0
2025-12-29,358.0,362.0,358.0,360.0,352.9102783203125,28200,0.0,0.0
2025-12-30,359.0,362.0,359.0,360.0,352.9102783203125,15600,0.0,0.0
2026-01-05,360.0,362.0,355.0,359.0,351.9299621582031,84400,0.0,0.0
2026-01-06,361.0,362.0,360.0,361.0,353.8905944824219,39800,0.0,0.0
2026-01-07,361.0,364.0,360.0,362.0,354.8708801269531,40900,0.0,0.0
2026-01-08,361.0,365.0,361.0,364.0,356.8315124511719,22600,0.0,0.0
2026-01-09,365.0,370.0,363.0,370.0,362.7133483886719,87000,0.0,0.0
2026-01-13,371.0,372.0,368.0,368.0,360.7527160644531,30300,0.0,0.0
2026-01-14,369.0,370.0,368.0,368.0,360.7527160644531,20100,0.0,0.0
2026-01-15,371.0,372.0,368.0,370.0,362.7133483886719,52200,0.0,0.0
2026-01-16,369.0,371.0,369.0,371.0,363.6936340332031,18500,0.0,0.0
2026-01-19,371.0,373.0,367.0,372.0,364.6739501953125,64800,0.0,0.0
2026-01-20,372.0,373.0,371.0,372.0,364.6739501953125,14800,0.0,0.0
2026-01-21,367.0,371.0,367.0,368.0,360.7527160644531,18200,0.0,0.0
2026-01-22,368.0,372.0,367.0,369.0,361.7330322265625,61400,0.0,0.0
2026-01-23,371.0,375.0,370.0,375.0,367.6148681640625,50100,0.0,0.0
2026-01-26,374.0,375.0,370.0,371.0,363.6936340332031,39600,0.0,0.0
2026-01-27,371.0,373.0,370.0,371.0,363.6936340332031,13800,0.0,0.0
2026-01-28,371.0,372.0,367.0,368.0,360.7527160644531,33200,0.0,0.0
2026-01-29,368.0,370.0,365.0,365.0,357.8117980957031,35400,0.0,0.0
2026-01-30,373.0,373.0,366.0,367.0,359.7724304199219,45700,0.0,0.0
2026-02-02,366.0,370.0,366.0,368.0,360.7527160644531,27500,0.0,0.0
2026-02-03,367.0,371.0,366.0,368.0,360.7527160644531,20500,0.0,0.0
2026-02-04,368.0,373.0,368.0,373.0,365.6542663574219,39900,0.0,0.0
2026-02-05,373.0,375.0,372.0,374.0,366.6345520019531,30900,0.0,0.0
2026-02-06,374.0,376.0,371.0,376.0,368.5951843261719,30200,0.0,0.0
2026-02-09,376.0,378.0,373.0,374.0,366.6345520019531,64400,0.0,0.0
2026-02-10,376.0,380.0,375.0,378.0,370.5557861328125,71600,0.0,0.0
2026-02-12,377.0,389.0,374.0,378.0,370.5557861328125,153300,0.0,0.0
2026-02-13,382.0,390.0,380.0,380.0,372.51641845703125,61700,0.0,0.0
2026-02-16,386.0,393.0,383.0,386.0,378.39825439453125,71400,0.0,0.0
2026-02-17,387.0,406.0,387.0,406.0,398.0043640136719,101600,0.0,0.0
2026-02-18,406.0,407.0,392.0,400.0,392.1225280761719,90400,0.0,0.0
2026-02-19,402.0,410.0,400.0,407.0,398.98468017578125,88100,0.0,0.0
2026-02-20,410.0,421.0,407.0,420.0,411.7286682128906,68700,0.0,0.0
2026-02-24,420.0,420.0,399.0,400.0,392.1225280761719,198500,0.0,0.0
2026-02-25,408.0,439.0,408.0,438.0,429.3741760253906,329800,0.0,0.0
2026-02-26,446.0,446.0,416.0,434.0,425.45294189453125,353000,0.0,0.0
2026-02-27,458.0,480.0,454.0,465.0,455.8424377441406,673000,0.0,0.0
2026-03-02,464.0,464.0,443.0,452.0,443.09844970703125,391800,0.0,0.0
2026-03-03,454.0,467.0,442.0,443.0,434.27569580078125,268500,0.0,0.0
2026-03-04,423.0,441.0,417.0,420.0,411.7286682128906,255900,0.0,0.0
2026-03-05,436.0,459.0,436.0,443.0,434.27569580078125,148800,0.0,0.0
2026-03-06,443.0,452.0,440.0,452.0,443.09844970703125,82400,0.0,0.0
2026-03-09,431.0,443.0,430.0,442.0,433.29541015625,104900,0.0,0.0
2026-03-10,449.0,459.0,444.0,456.0,447.0196838378906,94100,0.0,0.0
2026-03-11,456.0,462.0,455.0,455.0,446.03936767578125,64300,0.0,0.0
