date,open,high,low,close,adj close,volume,dividends,stock splits
2025-12-12,3890.0,3940.0,3890.0,3940.0,3897.583740234375,8800,0.0,0.0
2025-12-15,3945.0,3950.0,3925.0,3945.0,3902.52978515625,3900,0.0,0.0
2025-12-16,3965.0,3965.0,3890.0,3890.0,3848.1220703125,6500,0.0,0.0
2025-12-17,3900.0,3920.0,3875.0,3905.0,3862.96044921875,3400,0.0,0.0
2025-12-18,3905.0,3920.0,3900.0,3920.0,3877.799072265625,3300,0.0,0.0
2025-12-19,3920.0,3950.0,3910.0,3930.0,3887.69140625,5500,0.0,0.0
2025-12-22,3930.0,3950.0,3910.0,3910.0,3867.90673828125,7700,0.0,0.0
2025-12-23,3910.0,4030.0,3910.0,4020.0,3976.722412109375,17200,0.0,0.0
2025-12-24,4000.0,4020.0,3985.0,4005.0,3961.884033203125,4200,0.0,0.0
2025-12-25,4005.0,4010.0,4000.0,4010.0,3966.830078125,1400,0.0,0.0
2025-12-26,4010.0,4040.0,4000.0,4025.0,3981.668701171875,4500,0.0,0.0
2025-12-29,4035.0,4115.0,4035.0,4115.0,4070.69970703125,8700,0.0,0.0
2025-12-30,4115.0,4200.0,4100.0,4130.0,4085.538330078125,8000,0.0,0.0
2026-01-05,4175.0,4180.0,4130.0,4150.0,4105.32275390625,6700,0.0,0.0
2026-01-06,4150.0,4225.0,4150.0,4180.0,4135.0,9000,0.0,0.0
2026-01-07,4180.0,4310.0,4180.0,4240.0,4194.35400390625,11300,0.0,0.0
2026-01-08,4235.0,4325.0,4200.0,4215.0,4169.623046875,9700,0.0,0.0
2026-01-09,4215.0,4315.0,4215.0,4315.0,4268.546875,10100,0.0,0.0
2026-01-13,4350.0,4420.0,4165.0,4230.0,4184.4619140625,40700,0.0,0.0
2026-01-14,4190.0,4295.0,4170.0,4295.0,4248.76171875,19000,0.0,0.0
2026-01-15,4290.0,4340.0,4275.0,4330.0,4283.38525390625,15100,0.0,0.0
2026-01-16,4385.0,4420.0,4235.0,4350.0,4303.169921875,14100,0.0,0.0
2026-01-19,4305.0,4345.0,4265.0,4300.0,4253.7080078125,13500,0.0,0.0
2026-01-20,4300.0,4350.0,4230.0,4270.0,4224.03125,15000,0.0,0.0
2026-01-21,4215.0,4290.0,4205.0,4270.0,4224.03125,13100,0.0,0.0
2026-01-22,4275.0,4355.0,4275.0,4330.0,4283.38525390625,7600,0.0,0.0
