week,margin_short,margin_long,ratio
2025/12/12,13700.0,59700.0,4.36
2025/12/19,11500.0,54500.0,4.74
2025/12/26,12800.0,51700.0,4.04
2026-05-01,10200.0,106000.0,0.0962
2026/1/16,12000.0,73900.0,6.16
2026/1/23,13300.0,77000.0,5.79
2026/1/30,14300.0,78700.0,5.5
2026/1/9,12100.0,63100.0,5.21
2026/2/13,22900.0,72400.0,3.16
2026/2/20,22400.0,73900.0,3.3
2026/2/27,40600.0,69500.0,1.71
2026/2/6,15800.0,65400.0,4.14
2026/3/13,263800.0,115000.0,0.44
2026/3/20,441900.0,105400.0,0.24
2026/3/27,1192500.0,87900.0,0.07
2026/3/6,117500.0,103900.0,0.88
2026/4/10,9600.0,76800.0,8.0
2026/4/17,7200.0,78600.0,10.92
2026/4/24,11000.0,107200.0,9.75
2026/4/3,8900.0,72900.0,8.19
2026/5/1,10200.0,106000.0,10.39
