week,margin_short,margin_long,ratio
2025-05-16,0.0,137.6,
2025-05-23,0.0,140.1,
2025-05-30,0.0,139.4,
2025-06-06,0.0,137.0,
2025-06-13,0.0,137.3,
2025-06-20,0.0,136.8,
2025-07-04,0.0,120.0,
2025-07-11,0.0,118.4,
2025-07-18,0.0,116.3,
2025-07-25,0.0,115.2,
2025-08-01,0.0,113.1,
2025-08-08,0.0,103.3,
2025-08-15,0.0,97.6,
2025-08-22,0.0,108.7,
2025-08-29,0.0,119.1,
2025-09-05,0.0,118.2,
2025-09-12,0.0,112.5,
2025-09-19,0.0,112.5,
2025-09-26,0.0,112.1,
2025-10-03,0.0,113.8,
2025-10-10,0.0,113.1,
2025-10-17,0.0,111.8,
2025-10-24,0.0,103.9,
2025-10-31,0.0,98.5,
2025-11-07,0.0,102.0,
2025-11-14,0.0,103.2,
2025-11-21,0.6,245.5,409.17
2025-11-28,0.0,214.9,
2025-12-05,40.2,253.4,6.3
2025-12-08,0.0,358.6,
2025-12-09,12.9,371.1,28.77
2025-12-10,25.3,394.6,15.6
2025-12-11,4.4,408.5,92.84
2025-12-12,0.2,343.4,1717.0
2025-12-15,0.0,319.6,
2025-12-16,0.0,276.0,
2025-12-17,0.0,299.5,
2025-12-18,1.2,295.8,246.5
2025-12-19,0.0,287.1,
2025-12-22,0.1,292.1,2921.0
2025-12-23,0.4,264.6,661.5
2025-12-24,0.2,263.4,1317.0
2025-12-25,0.5,237.3,474.6
2025-12-26,0.0,207.6,
2025-12-29,0.7,206.1,294.43
2025-12-30,0.0,201.7,
2026-01-05,0.0,201.1,
2026-01-06,0.0,203.6,
2026-01-07,0.0,208.9,
2026-01-08,0.0,209.4,
2026-01-09,0.0,216.7,
2026-01-13,0.0,246.1,
2026-01-14,1.0,268.3,268.3
2026-01-15,0.0,282.4,
2026-01-16,0.0,290.0,
2026-01-23,0.0,282.2,
2026-01-30,0.0,264.4,
2026-02-06,0.0,253.6,
2026-02-13,0.0,260.4,
2026-02-20,0.0,225.0,
2026-02-27,0.0,218.7,
2026-03-06,0.0,213.3,
2026-03-13,1.0,259.7,259.7
2026-03-19,0.0,281.8,
2026-03-20,0.0,281800.0,
2026-03-27,0.0,272.1,
2026-04-03,0.0,264.2,
2026-04-10,0.0,265.3,
2026-04-17,0.0,288.7,
2026-04-24,0.0,275.9,
2026-05-01,0.0,249.2,
2026-05-15,0.0,206.6,
2026-05-22,0.0,205.5,
2026-05-29,0.0,237.3,
2026-07-17,0.0,288.0,
2026-07-24,0.0,319.0,
2026-07-31,0.1,310.8,3108.0
2026-08-07,0.0,299.3,
