week,margin_short,margin_long,ratio
2025-05-12,48.3,125.3,2.59
2025-05-13,49.0,124.8,2.55
2025-05-14,48.6,122.5,2.52
2025-05-15,43.3,146.5,3.38
2025-05-16,43.0,148.7,3.46
2025-05-23,45.4,159.5,3.51
2025-05-30,55.5,169.1,3.05
2025-06-06,50.1,175.8,3.51
2025-06-13,50.2,189.8,3.78
2025-06-20,50.0,192.2,3.84
2025-07-04,47.0,192.1,4.09
2025-07-11,44.9,194.5,4.33
2025-07-18,38.1,198.7,5.22
2025-07-25,32.0,200.5,6.27
2025-08-01,29.1,186.0,6.39
2025-08-08,22.5,190.4,8.46
2025-08-15,16.2,191.1,11.8
2025-08-22,14.3,191.8,13.41
2025-08-29,13.6,191.1,14.05
2025-09-05,13.7,192.0,14.01
2025-09-12,13.9,188.0,13.53
2025-09-19,12.3,187.7,15.26
2025-09-26,12.3,195.6,15.9
2025-10-03,11.3,200.6,17.75
2025-10-10,11.8,198.4,16.81
2025-10-17,10.1,195.7,19.38
2025-10-24,10.1,189.5,18.76
2025-10-31,10.6,185.7,17.52
2025-11-07,7.5,185.6,24.75
2025-11-14,5.9,173.4,29.39
2025-11-21,5.0,169.9,33.98
2025-11-28,4.4,170.9,38.84
2025-12-05,4.4,172.1,39.11
2025-12-12,5.4,167.2,30.96
2025-12-19,6.5,166.1,25.55
2025-12-26,6.3,164.1,26.05
2026-01-09,5.5,162.9,29.62
2026-01-16,5.5,157.1,28.56
2026-01-23,5.4,151.8,28.11
2026-01-30,5.3,153.6,28.98
2026-02-06,5.5,151.9,27.62
2026-02-13,5.1,160.7,31.51
2026-02-20,5.7,154.3,27.07
2026-02-27,6.3,154.8,24.57
2026-03-06,9.5,143.6,15.12
2026-03-13,10.7,129.4,12.09
2026-03-19,11.9,122.1,10.26
2026-03-20,11900.0,122100.0,10.26
2026-03-27,17.2,113.8,6.62
2026-04-03,13.3,106.2,7.98
2026-04-10,11.6,113.6,9.79
2026-04-17,11.4,115.4,10.12
2026-04-24,10.8,128.5,11.9
2026-05-01,11.1,126.8,11.42
2026-05-15,14.4,162.6,11.29
2026-05-22,15.5,163.0,10.52
2026-05-29,14.8,167.7,11.33
2026-07-17,21.9,205.5,9.38
2026-07-24,19.5,206.1,10.57
2026-07-31,15.4,204.3,13.27
