week,margin_short,margin_long,ratio
2025-05-16,116.4,624.3,5.36
2025-05-23,132.8,612.0,4.61
2025-05-30,174.1,595.8,3.42
2025-06-06,207.9,591.2,2.84
2025-06-13,219.2,578.0,2.64
2025-06-20,227.0,582.2,2.56
2025-07-04,219.6,619.8,2.82
2025-07-11,229.8,536.5,2.33
2025-07-18,197.6,491.1,2.49
2025-07-25,196.0,449.8,2.29
2025-08-01,195.4,496.7,2.54
2025-08-08,197.3,481.1,2.44
2025-08-15,229.2,470.7,2.05
2025-08-22,180.5,407.7,2.26
2025-08-29,182.9,416.5,2.28
2025-09-05,182.2,405.3,2.22
2025-09-12,180.4,400.7,2.22
2025-09-19,180.5,387.4,2.15
2025-09-26,178.6,395.1,2.21
2025-10-03,181.4,378.8,2.09
2025-10-10,154.9,434.3,2.8
2025-10-17,157.3,426.7,2.71
2025-10-24,151.5,422.6,2.79
2025-10-31,137.2,427.9,3.12
2025-11-07,119.9,467.5,3.9
2025-11-14,124.9,423.4,3.39
2025-11-21,117.5,387.9,3.3
2025-11-28,109.4,377.6,3.45
2025-12-05,114.3,361.7,3.16
2025-12-12,114.5,318.3,2.78
2025-12-19,119.7,275.8,2.3
2025-12-26,129.0,273.3,2.12
2026-01-09,121.8,284.4,2.33
2026-01-16,122.6,294.3,2.4
2026-01-23,129.6,274.3,2.12
2026-01-30,146.3,308.7,2.11
2026-02-06,140.2,297.7,2.12
2026-02-13,137.9,395.6,2.87
2026-02-20,182.9,377.7,2.07
2026-02-27,181.8,385.5,2.12
2026-03-06,223.3,373.3,1.67
2026-03-13,250.6,387.8,1.55
2026-03-19,261.7,365.7,1.4
2026-03-23,268.3,366.4,1.37
2026-03-24,267.8,358.5,1.34
2026-03-25,258.1,359.7,1.39
2026-03-26,253.1,357.9,1.41
2026-03-27,249.6,358.4,1.44
2026-03-30,248.6,363.0,1.46
2026-03-31,245.9,357.3,1.45
2026-04-01,243.4,350.8,1.44
2026-04-02,242.0,354.3,1.46
2026-04-03,238.8,357.7,1.5
2026-04-06,234.9,357.4,1.52
2026-04-07,231.6,351.6,1.52
2026-04-08,225.4,349.2,1.55
2026-04-09,224.5,358.3,1.6
2026-04-10,222.6,364.7,1.64
2026-04-13,219.7,364.3,1.66
2026-04-14,215.8,354.0,1.64
2026-04-15,209.1,358.2,1.71
2026-04-16,194.3,357.2,1.84
2026-04-17,193.5,354.1,1.83
2026-04-20,183.5,351.8,1.92
2026-04-21,185.1,350.4,1.89
2026-04-22,174.5,350.0,2.01
2026-04-23,184.7,344.1,1.86
2026-04-24,194.7,341.4,1.75
2026-04-27,248.4,344.4,1.39
2026-04-28,168.1,347.0,2.06
2026-04-30,172.8,370.7,2.15
2026-05-01,175.1,368.7,2.11
2026-05-07,182.8,379.4,2.08
2026-05-08,189.1,377.8,2.0
2026-05-11,184.3,377.9,2.05
2026-05-12,184.4,377.2,2.05
2026-05-13,186.1,377.1,2.03
2026-05-14,195.2,396.3,2.03
2026-05-15,193.6,414.4,2.14
2026-05-18,210.3,406.2,1.93
2026-05-19,218.0,398.7,1.83
2026-05-20,237.8,401.1,1.69
2026-05-21,237.9,399.0,1.68
2026-05-22,242.0,380.6,1.57
2026-05-25,244.4,374.4,1.53
2026-05-26,245.8,389.1,1.58
2026-05-27,246.4,397.7,1.61
2026-05-28,244.9,406.8,1.66
2026-05-29,245.6,444.4,1.81
2026-06-01,245.5,433.8,1.77
2026-06-02,247.4,443.6,1.79
2026-06-03,248.7,440.9,1.77
2026-06-04,249.6,431.8,1.73
2026-06-05,244.5,428.6,1.75
2026-06-08,244.8,421.3,1.72
2026-06-09,244.1,427.2,1.75
2026-06-10,266.4,448.1,1.68
2026-06-11,267.9,442.6,1.65
2026-06-12,273.0,455.4,1.67
2026-06-15,269.4,456.9,1.7
2026-06-16,270.9,463.8,1.71
2026-06-18,265.1,465.9,1.76
2026-06-19,267.9,467.2,1.74
2026-06-22,264.7,461.2,1.74
2026-06-23,259.6,474.1,1.83
2026-06-24,259.2,469.8,1.81
2026-06-25,253.9,467.2,1.84
2026-06-26,257.1,475.1,1.85
2026-06-29,258.7,469.4,1.81
2026-06-30,257.2,459.8,1.79
2026-07-02,240.6,446.2,1.85
2026-07-03,215.3,441.3,2.05
2026-07-06,206.7,441.0,2.13
2026-07-07,203.2,438.5,2.16
2026-07-08,201.8,437.9,2.17
2026-07-17,175.5,418.3,2.38
