week,margin_short,margin_long,ratio
2025-05-16,0.0,522.5,
2025-05-23,0.0,102.5,
2025-05-30,0.0,112.9,
2025-06-06,0.0,145.4,
2025-06-13,0.0,109.8,
2025-06-20,0.0,107.8,
2025-07-04,0.0,108.4,
2025-07-11,0.0,106.5,
2025-07-18,0.0,102.6,
2025-07-25,0.0,102.8,
2025-08-01,0.0,104.3,
2025-08-08,0.0,126.3,
2025-08-15,0.0,131.8,
2025-08-22,0.0,139.7,
2025-08-29,0.0,160.4,
2025-09-05,0.0,156.7,
2025-09-12,0.0,167.6,
2025-09-19,0.0,617.9,
2025-09-26,0.0,576.9,
2025-10-03,0.0,571.0,
2025-10-10,0.0,564.0,
2025-10-17,0.0,555.9,
2025-10-24,0.0,562.7,
2025-10-31,0.0,561.8,
2025-11-07,0.0,558.3,
2025-11-14,0.0,553.4,
2025-11-21,0.0,548.9,
2025-11-28,0.0,543.0,
2025-12-05,0.0,567.7,
2025-12-12,0.0,241.7,
2025-12-19,0.0,201.5,
2025-12-26,0.0,191.9,
2026-01-09,0.0,165.6,
2026-01-16,0.0,165.0,
2026-01-23,0.0,162.5,
2026-01-30,0.0,529.3,
2026-02-06,0.0,521.8,
2026-02-13,0.0,516.7,
2026-02-20,0.0,517.9,
2026-02-27,0.0,510.1,
2026-03-06,0.0,507.7,
2026-03-13,0.0,511.8,
2026-03-19,0.0,499.4,
2026-03-27,0.0,494.6,
2026-04-03,0.0,126.0,
2026-04-10,0.0,129.7,
2026-04-17,0.0,133.3,
2026-04-24,0.0,135.7,
2026-05-01,0.0,138.1,
2026-05-15,0.0,137.7,
2026-05-22,0.0,141.4,
2026-05-29,0.0,137.3,
2026-07-17,0.0,131.3,
2026-07-24,0.0,131.9,
2026-07-31,0.0,138.2,
2026-08-07,0.0,139.5,
2026-08-14,0.0,138.0,
2026-08-21,0.0,137.1,
2026-08-28,0.0,135.6,
