week,margin_short,margin_long,ratio
2026/5/1,2100.0,1900.0,0.9
2026/4/24,2200.0,2500.0,1.14
2026/4/17,2100.0,2000.0,0.95
2026/4/10,2200.0,1800.0,0.82
2026/4/3,2300.0,1900.0,0.83
2026/3/27,28600.0,3000.0,0.1
2026/3/20,5800.0,4600.0,0.79
2026/3/13,3300.0,4100.0,1.24
2026/3/6,1600.0,4700.0,2.94
2026/2/27,300.0,5100.0,17.0
2026/2/20,300.0,5900.0,19.67
2026/2/13,300.0,6000.0,20.0
2026/2/6,500.0,5000.0,10.0
2026/1/30,900.0,4600.0,5.11
2026/1/23,900.0,6500.0,7.22
2026/1/16,1100.0,8300.0,7.55
2026/1/9,1000.0,6900.0,6.9
2025/12/26,1000.0,10200.0,10.2
2025/12/19,800.0,9400.0,11.75
2025/12/12,800.0,7400.0,9.25
