week,margin_long,margin_short,ratio
2025-05-16,1037.5,679.5,1.53
2025-05-23,1100.0,730.0,1.51
2025-05-30,1148.0,1174.0,0.98
2025-06-06,1468.0,1523.0,0.96
2025-06-13,1550.5,2649.0,0.59
2025-06-20,1454.5,5054.5,0.29
2025-07-04,1320.5,638.5,2.07
2025-07-11,1530.5,633.5,2.42
2025-07-18,1473.5,1653.0,0.89
2025-07-25,1787.0,616.0,2.9
2025-08-01,1515.0,600.0,2.53
2025-08-08,1099.5,655.5,1.68
2025-08-15,2040.0,571.0,3.57
2025-08-22,5471.5,619.0,8.84
2025-08-29,5848.0,553.5,10.57
2025-09-05,4729.0,538.0,8.79
2025-09-12,5901.5,426.0,13.85
2025-09-19,6738.0,361.5,18.64
2025-09-26,7243.0,299.0,24.22
2025-10-03,7583.3,273.6,27.72
2025-10-10,7207.9,219.9,32.78
2025-10-17,7182.2,203.4,35.31
2025-10-24,7537.2,197.4,38.18
2025-10-31,7455.9,214.9,34.69
2025-11-07,6590.0,215.2,30.62
2025-11-14,6848.8,229.2,29.88
2025-11-21,6881.5,349.7,19.68
2025-11-28,6836.9,429.0,15.94
2025-12-05,6427.9,1461.8,4.4
2025-12-12,5899.1,1979.3,2.98
2025-12-19,5723.0,3681.9,1.55
2025-12-26,5149.7,11398.9,0.45
2026-01-09,5253.1,1078.3,4.87
2026-01-16,5613.3,1078.0,5.21
2026-01-23,4958.8,1026.0,4.83
2026-01-30,4985.2,1045.9,4.77
2026-02-06,4314.8,1038.7,4.15
2026-02-13,3815.7,1079.3,3.54
2026-02-20,3138.4,1072.0,2.93
2026-02-27,2575.3,1034.0,2.49
2026-03-06,2372.3,1182.1,2.01
2026-03-13,2224.9,1106.4,2.01
2026-03-19,2195.3,1093.7,2.01
2026-03-27,2048.9,1091.4,1.88
2026-04-03,2231.0,1061.6,2.1
2026-04-10,2814.1,1479.7,1.9
2026-04-17,2953.2,1434.7,2.06
2026-04-24,2980.5,1421.6,2.1
2026-05-01,3306.1,1421.7,2.33
