date,open,high,low,close,adj close,volume,dividends,stock splits
2025-11-25,635.0,638.0,635.0,638.0,633.1812744140625,3600,0.0,0.0
2025-11-26,638.0,638.0,635.0,636.0,631.1963500976562,6800,0.0,0.0
2025-11-27,639.0,639.0,636.0,638.0,633.1812744140625,6100,0.0,0.0
2025-11-28,638.0,640.0,636.0,640.0,635.1661376953125,9300,0.0,0.0
2025-12-01,640.0,643.0,635.0,638.0,633.1812744140625,14600,0.0,0.0
2025-12-02,638.0,645.0,638.0,643.0,638.1434936523438,5800,0.0,0.0
2025-12-03,645.0,649.0,645.0,646.0,641.120849609375,5200,0.0,0.0
2025-12-04,646.0,653.0,646.0,653.0,648.0679931640625,4200,0.0,0.0
2025-12-05,656.0,657.0,654.0,654.0,649.0604248046875,5900,0.0,0.0
2025-12-08,660.0,660.0,655.0,656.0,651.0453491210938,3900,0.0,0.0
2025-12-09,658.0,658.0,653.0,656.0,651.0453491210938,5700,0.0,0.0
2025-12-10,658.0,659.0,656.0,657.0,652.0377807617188,5300,0.0,0.0
2025-12-11,658.0,658.0,654.0,654.0,649.0604248046875,5700,0.0,0.0
2025-12-12,655.0,655.0,647.0,651.0,646.0830688476562,11300,0.0,0.0
2025-12-15,654.0,654.0,650.0,650.0,645.0906372070312,8100,0.0,0.0
2025-12-16,654.0,654.0,650.0,651.0,646.0830688476562,6100,0.0,0.0
2025-12-17,652.0,653.0,649.0,651.0,646.0830688476562,5800,0.0,0.0
2025-12-18,652.0,656.0,651.0,653.0,648.0679931640625,3600,0.0,0.0
2025-12-19,655.0,657.0,655.0,657.0,652.0377807617188,3700,0.0,0.0
2025-12-22,660.0,663.0,660.0,663.0,657.992431640625,10600,0.0,0.0
2025-12-23,663.0,663.0,661.0,662.0,657.0,8000,0.0,0.0
2025-12-24,662.0,662.0,659.0,660.0,655.01513671875,12300,0.0,0.0
2025-12-25,660.0,660.0,656.0,660.0,655.01513671875,13500,0.0,0.0
2025-12-26,660.0,662.0,658.0,662.0,657.0,25200,0.0,0.0
2025-12-29,607.0,611.0,601.0,606.0,606.0,36000,5.0,0.0
2025-12-30,606.0,608.0,603.0,603.0,603.0,8000,0.0,0.0
2026-01-05,602.0,603.0,600.0,600.0,600.0,9300,0.0,0.0
2026-01-06,600.0,601.0,599.0,599.0,599.0,4600,0.0,0.0
2026-01-07,600.0,601.0,598.0,601.0,601.0,3800,0.0,0.0
2026-01-08,602.0,602.0,599.0,599.0,599.0,3000,0.0,0.0
2026-01-09,598.0,599.0,597.0,597.0,597.0,4100,0.0,0.0
2026-01-13,598.0,598.0,593.0,593.0,593.0,13900,0.0,0.0
2026-01-14,593.0,593.0,581.0,581.0,581.0,15500,0.0,0.0
2026-01-15,581.0,581.0,576.0,576.0,576.0,10200,0.0,0.0
2026-01-16,576.0,577.0,575.0,576.0,576.0,4800,0.0,0.0
2026-01-19,577.0,577.0,572.0,572.0,572.0,5800,0.0,0.0
2026-01-20,572.0,574.0,570.0,572.0,572.0,5300,0.0,0.0
2026-01-21,572.0,573.0,571.0,571.0,571.0,2900,0.0,0.0
2026-01-22,571.0,575.0,570.0,571.0,571.0,3200,0.0,0.0
2026-01-23,570.0,573.0,565.0,571.0,571.0,6400,0.0,0.0
2026-01-26,573.0,573.0,570.0,570.0,570.0,2400,0.0,0.0
2026-01-27,571.0,573.0,570.0,570.0,570.0,1800,0.0,0.0
2026-01-28,570.0,574.0,566.0,568.0,568.0,2500,0.0,0.0
2026-01-29,568.0,573.0,566.0,566.0,566.0,2600,0.0,0.0
2026-01-30,565.0,570.0,565.0,566.0,566.0,1300,0.0,0.0
2026-02-02,568.0,570.0,567.0,569.0,569.0,2800,0.0,0.0
2026-02-03,568.0,571.0,567.0,568.0,568.0,1400,0.0,0.0
2026-02-04,567.0,576.0,567.0,576.0,576.0,2700,0.0,0.0
2026-02-05,575.0,577.0,574.0,575.0,575.0,2100,0.0,0.0
2026-02-06,575.0,583.0,575.0,583.0,583.0,5500,0.0,0.0
2026-02-09,581.0,581.0,577.0,577.0,577.0,2700,0.0,0.0
2026-02-10,579.0,580.0,578.0,580.0,580.0,1700,0.0,0.0
2026-02-12,580.0,580.0,576.0,578.0,578.0,2700,0.0,0.0
2026-02-13,578.0,579.0,570.0,578.0,578.0,7200,0.0,0.0
2026-02-16,578.0,578.0,570.0,572.0,572.0,3800,0.0,0.0
