date,open,high,low,close,adj close,volume,dividends,stock splits
2025-12-12,109.0,109.0,107.0,109.0,106.02727508544922,54400,0.0,0.0
2025-12-15,110.0,110.0,108.0,109.0,106.02727508544922,50600,0.0,0.0
2025-12-16,109.0,110.0,107.0,109.0,106.02727508544922,78800,0.0,0.0
2025-12-17,109.0,109.0,108.0,108.0,105.05455017089844,19700,0.0,0.0
2025-12-18,109.0,109.0,108.0,109.0,106.02727508544922,21300,0.0,0.0
2025-12-19,110.0,110.0,108.0,110.0,107.0,82000,0.0,0.0
2025-12-22,110.0,111.0,110.0,111.0,107.97273254394531,163600,0.0,0.0
2025-12-23,111.0,112.0,110.0,112.0,108.9454574584961,138700,0.0,0.0
2025-12-24,112.0,113.0,111.0,113.0,109.91818237304688,68900,0.0,0.0
2025-12-25,112.0,113.0,111.0,111.0,107.97273254394531,138000,0.0,0.0
2025-12-26,111.0,112.0,111.0,112.0,108.9454574584961,80400,0.0,0.0
2025-12-29,112.0,113.0,111.0,112.0,108.9454574584961,115800,0.0,0.0
2025-12-30,111.0,113.0,111.0,113.0,109.91818237304688,51000,0.0,0.0
2026-01-05,113.0,113.0,112.0,112.0,108.9454574584961,57200,0.0,0.0
2026-01-06,113.0,113.0,110.0,113.0,109.91818237304688,290400,0.0,0.0
2026-01-07,113.0,114.0,112.0,113.0,109.91818237304688,178500,0.0,0.0
2026-01-08,113.0,114.0,112.0,112.0,108.9454574584961,74100,0.0,0.0
2026-01-09,113.0,113.0,112.0,112.0,108.9454574584961,68100,0.0,0.0
2026-01-13,113.0,113.0,112.0,113.0,109.91818237304688,48000,0.0,0.0
2026-01-14,113.0,114.0,112.0,113.0,109.91818237304688,221900,0.0,0.0
2026-01-15,113.0,114.0,112.0,113.0,109.91818237304688,75700,0.0,0.0
2026-01-16,113.0,114.0,113.0,114.0,110.89091491699219,58100,0.0,0.0
2026-01-19,114.0,115.0,114.0,115.0,111.86363983154297,80000,0.0,0.0
2026-01-20,115.0,116.0,113.0,113.0,109.91818237304688,88500,0.0,0.0
2026-01-21,114.0,114.0,113.0,113.0,109.91818237304688,33800,0.0,0.0
2026-01-22,113.0,114.0,113.0,113.0,109.91818237304688,73800,0.0,0.0
2026-01-23,113.0,114.0,112.0,113.0,109.91818237304688,230700,0.0,0.0
2026-01-26,113.0,115.0,113.0,114.0,110.89091491699219,180500,0.0,0.0
2026-01-27,114.0,114.0,112.0,113.0,109.91818237304688,135200,0.0,0.0
2026-01-28,113.0,114.0,110.0,110.0,107.0,451400,0.0,0.0
2026-01-29,104.0,110.0,104.0,109.0,109.0,255200,3.0,0.0
