week,margin_short,margin_long,ratio
2025-05-16,0.0,177.2,
2025-05-23,0.0,170.0,
2025-05-30,0.0,174.8,
2025-06-06,0.4,150.0,375.0
2025-06-13,0.4,152.8,382.0
2025-06-20,0.4,200.8,502.0
2025-07-04,0.4,168.0,420.0
2025-07-11,0.4,173.2,433.0
2025-07-18,0.4,165.6,414.0
2025-07-25,0.0,176.0,
2025-08-01,0.0,170.4,
2025-08-08,0.0,204.4,
2025-08-15,0.0,186.4,
2025-08-22,0.0,182.8,
2025-08-29,0.0,176.0,
2025-09-05,0.0,156.4,
2025-09-12,0.0,154.8,
2025-09-19,0.0,138.4,
2025-09-26,0.0,147.2,
2025-10-03,0.0,156.0,
2025-10-10,0.0,156.4,
2025-10-17,0.4,148.4,371.0
2025-10-24,0.0,105.2,
2025-10-31,0.4,155.6,389.0
2025-11-07,0.0,151.6,
2025-11-14,0.0,182.0,
2025-11-21,0.4,123.2,308.0
2025-11-28,0.0,129.2,
2025-12-05,0.4,123.2,308.0
2025-12-12,0.4,155.6,389.0
2025-12-19,0.4,174.4,436.0
2025-12-26,0.4,169.2,423.0
2026-01-09,0.0,219.6,
2026-01-16,0.0,292.8,
2026-01-23,0.0,293.2,
2026-01-30,0.0,308.4,
2026-02-06,0.0,300.0,
2026-02-13,0.0,267.2,
2026-02-20,0.0,254.8,
2026-02-27,0.0,228.0,
2026-03-06,0.0,217.2,
2026-03-13,0.0,192.0,
2026-03-19,0.0,184.8,
2026-03-27,0.0,144.8,
2026-04-03,0.1,146.6,1466.0
2026-04-10,0.1,161.3,1613.0
2026-04-17,0.0,172.0,
2026-04-24,0.0,166.0,
2026-05-01,0.0,180.6,
2026-05-15,0.0,172.1,
2026-05-22,0.1,170.4,1704.0
2026-05-29,0.0,155.4,
2026-07-17,0.0,201.4,
2026-07-24,2.6,189.6,72.92
2026-07-31,0.0,193.1,
2026-08-07,0.0,178.2,
2026-08-14,0.0,213.6,
