week,margin_short,margin_long,ratio
2025-05-30,3.9,251.7,64.54
2025-06-06,3.7,250.4,67.68
2025-06-13,8.6,266.6,31.0
2025-06-20,11.3,256.1,22.66
2025-07-04,9.0,246.2,27.36
2025-07-11,8.8,242.4,27.55
2025-07-18,7.1,252.3,35.54
2025-07-25,7.3,247.3,33.88
2025-08-01,6.7,249.6,37.25
2025-08-08,6.7,214.4,32.0
2025-08-15,8.5,193.3,22.74
2025-08-22,12.9,173.6,13.46
2025-08-29,16.7,168.0,10.06
2025-09-05,15.2,170.5,11.22
2025-09-12,14.6,168.4,11.53
2025-09-19,12.3,162.5,13.21
2025-09-26,9.4,157.0,16.7
2025-10-03,8.1,148.1,18.28
2025-10-10,7.7,130.9,17.0
2025-10-17,7.9,104.1,13.18
2025-10-24,7.7,101.7,13.21
2025-10-31,7.8,94.9,12.17
2025-11-07,7.9,94.0,11.9
2025-11-14,7.4,96.2,13.0
2025-11-21,4.8,89.6,18.67
2025-11-28,3.0,86.2,28.73
2025-12-05,2.7,87.0,32.22
2025-12-12,2.4,85.7,35.71
2025-12-19,2.5,93.1,37.24
2025-12-26,3.1,101.9,32.87
2026-01-09,2.7,94.4,34.96
2026-01-16,2.9,90.0,31.03
2026-01-23,3.3,91.9,27.85
2026-01-30,2.7,97.9,36.26
2026-02-06,1.3,102.2,78.62
2026-02-13,2.0,96.7,48.35
2026-02-20,0.5,92.3,184.6
2026-02-27,0.7,91.6,130.86
2026-03-06,0.5,91.2,182.4
2026-03-13,0.8,93.8,117.25
2026-03-19,0.6,93.9,156.5
2026-03-20,600.0,93900.0,156.5
2026-03-27,0.5,89.0,178.0
2026-04-03,0.5,88.7,177.4
2026-04-10,0.6,93.4,155.67
2026-04-17,0.5,96.4,192.8
2026-04-24,2.1,99.8,47.52
2026-05-01,0.1,93.6,936.0
2026-05-15,0.1,85.4,854.0
2026-05-22,0.2,84.6,423.0
2026-05-29,0.4,88.9,222.25
2026-06-05,0.2,98.8,494.0
2026-06-12,0.2,101.4,507.0
2026-06-19,1.2,103.9,86.58
2026-06-26,1.3,101.4,78.0
