week,margin_short,margin_long,ratio
2025/12/12,0.0,281000.0,
2025/12/19,0.0,291200.0,
2025/12/26,0.0,305800.0,
2026-05-01,0.0,310000.0,
2026/1/16,0.0,302400.0,
2026/1/23,100.0,313200.0,3132.0
2026/1/30,0.0,304900.0,
2026/1/9,0.0,299300.0,
2026/2/13,0.0,289000.0,
2026/2/20,0.0,317100.0,
2026/2/27,100.0,308400.0,3084.0
2026/2/6,0.0,288600.0,
2026/3/13,100.0,306100.0,3061.0
2026/3/20,100.0,300300.0,3003.0
2026/3/27,0.0,299100.0,
2026/3/6,0.0,309100.0,
2026/4/10,100.0,311500.0,3115.0
2026/4/17,0.0,326600.0,
2026/4/24,0.0,307900.0,
2026/4/3,0.0,300600.0,
2026/5/1,0.0,310000.0,
