week,margin_short,margin_long,ratio
2025-05-30,9.2,371.7,40.4
2025-06-06,13.0,374.1,28.78
2025-06-13,10.7,391.0,36.54
2025-06-20,10.0,379.7,37.97
2025-07-04,12.5,346.7,27.74
2025-07-11,13.7,339.5,24.78
2025-07-18,10.9,337.7,30.98
2025-07-25,10.2,339.9,33.32
2025-08-01,11.4,334.8,29.37
2025-08-08,9.3,341.3,36.7
2025-08-15,9.7,145.3,14.98
2025-08-22,14.2,140.0,9.86
2025-08-29,13.1,139.7,10.66
2025-09-05,12.7,137.5,10.83
2025-09-12,11.3,143.1,12.66
2025-09-19,12.7,144.0,11.34
2025-09-26,43.6,148.9,3.42
2025-10-03,12.6,159.8,12.68
2025-10-10,12.9,144.9,11.23
2025-10-17,12.0,151.8,12.65
2025-10-24,12.5,147.1,11.77
2025-10-31,10.7,165.4,15.46
2025-11-07,15.0,194.2,12.95
2025-11-14,19.3,172.7,8.95
2025-11-21,13.5,173.0,12.81
2025-11-28,23.7,181.8,7.67
2025-12-05,26.2,195.0,7.44
2025-12-12,24.9,189.5,7.61
2025-12-19,25.8,181.2,7.02
2025-12-26,27.3,171.6,6.29
2026-01-09,21.2,169.8,8.01
2026-01-16,17.8,177.5,9.97
2026-01-23,20.2,176.7,8.75
2026-01-30,15.5,195.7,12.63
2026-02-06,22.3,195.2,8.75
2026-02-13,21.8,187.0,8.58
2026-02-20,9.1,196.6,21.6
2026-02-27,10.3,190.8,18.52
2026-03-06,10.1,211.4,20.93
2026-03-13,12.5,222.5,17.8
2026-03-19,11.3,218.5,19.34
2026-03-20,11300.0,218500.0,19.34
2026-03-27,47.4,209.7,4.42
2026-04-03,18.6,209.9,11.28
2026-04-10,13.1,202.4,15.45
2026-04-17,11.7,208.1,17.79
2026-04-24,17.8,208.4,11.71
2026-05-01,16.0,205.6,12.85
2026-05-15,17.8,228.6,12.84
2026-05-22,77.2,273.0,3.54
2026-05-29,81.9,295.4,3.61
