week,margin_short,margin_long,ratio
2025-05-16,0.0,101.1,
2025-05-23,0.0,101.1,
2025-05-30,0.0,100.1,
2025-06-06,0.0,98.1,
2025-06-13,0.0,93.8,
2025-06-20,0.0,93.7,
2025-07-04,0.0,92.7,
2025-07-11,0.0,91.9,
2025-07-18,0.0,91.3,
2025-07-25,0.0,90.6,
2025-08-01,0.0,40.7,
2025-08-08,0.0,40.9,
2025-08-15,0.0,41.7,
2025-08-22,0.0,90.5,
2025-08-29,0.0,88.5,
2025-09-05,0.0,92.2,
2025-09-12,0.0,104.9,
2025-09-19,0.0,115.1,
2025-09-26,0.0,113.3,
2025-10-03,0.0,113.9,
2025-10-10,0.0,116.8,
2025-10-17,0.0,117.8,
2025-10-24,0.0,122.3,
2025-10-31,0.0,124.9,
2025-11-07,0.0,125.4,
2025-11-14,0.0,125.2,
2025-11-21,0.0,119.4,
2025-11-28,0.0,117.3,
2025-12-05,0.0,114.6,
2025-12-12,0.0,118.8,
2025-12-19,0.0,66.3,
2025-12-26,0.0,65.0,
2026-01-09,0.0,62.3,
2026-01-16,0.0,61.2,
2026-01-23,0.0,60.3,
2026-01-30,0.0,108.5,
2026-02-06,0.0,108.3,
2026-02-13,0.0,108.6,
2026-02-20,0.0,108.6,
2026-02-27,0.0,110.4,
2026-03-06,0.0,107.8,
2026-03-13,0.0,102.8,
2026-03-19,0.0,107.6,
2026-03-27,0.0,104.7,
2026-04-03,0.0,104.4,
2026-04-10,0.0,103.8,
2026-04-17,0.0,103.2,
2026-04-24,0.0,103.5,
2026-05-01,0.0,105.1,
2026-05-15,0.0,104.3,
2026-05-22,0.0,101.0,
2026-05-29,0.0,101.2,
2026-07-17,0.0,49.4,
