week,margin_short,margin_long,ratio
2025-05-16,0.0,130.4,
2025-05-23,0.0,127.6,
2025-05-30,0.0,120.6,
2025-06-06,0.0,120.6,
2025-06-13,0.0,119.0,
2025-06-20,0.0,120.3,
2025-07-04,0.0,124.7,
2025-07-11,0.0,133.5,
2025-07-18,0.0,137.2,
2025-07-25,0.0,134.2,
2025-08-01,0.0,128.9,
2025-08-08,15.1,264.2,17.5
2025-08-13,1.5,538.9,359.27
2025-08-14,2.0,533.2,266.6
2025-08-15,1.6,622.7,389.19
2025-08-18,0.3,580.1,1933.67
2025-08-19,0.5,491.8,983.6
2025-08-20,0.3,508.8,1696.0
2025-08-21,0.0,499.0,
2025-08-22,0.0,489.4,
2025-08-25,0.0,502.5,
2025-08-26,0.0,470.2,
2025-08-27,1.0,490.3,490.3
2025-08-28,0.0,475.5,
2025-08-29,0.2,468.8,2344.0
2025-09-01,0.0,447.3,
2025-09-02,0.0,461.0,
2025-09-03,0.0,442.5,
2025-09-04,0.0,421.6,
2025-09-05,0.0,432.8,
2025-09-12,0.0,380.5,
2025-09-19,0.0,359.9,
2025-09-26,0.0,351.8,
2025-10-03,0.0,319.1,
2025-10-10,0.0,303.4,
2025-10-17,0.0,267.7,
2025-10-24,0.2,656.7,3283.5
2025-10-31,0.0,607.6,
2025-11-07,0.0,696.6,
2025-11-14,0.0,772.4,
2025-11-21,0.0,815.9,
2025-11-28,0.0,860.2,
2025-12-05,0.0,861.2,
2025-12-12,0.0,844.4,
2025-12-19,0.0,816.9,
2025-12-26,0.0,830.1,
2026-01-09,0.0,852.5,
2026-01-16,0.0,944.2,
2026-01-23,0.0,893.4,
2026-01-30,0.0,923.7,
2026-02-06,0.0,992.5,
2026-02-13,0.0,1079.6,
2026-02-20,0.0,1031.1,
2026-02-27,0.0,1035.8,
2026-03-06,0.0,758.8,
2026-03-13,0.0,737.3,
2026-03-19,0.0,734.5,
2026-03-27,0.0,725.1,
2026-04-03,0.0,751.7,
2026-04-10,0.0,774.3,
2026-04-17,0.0,798.2,
2026-04-24,0.0,949.3,
2026-05-01,0.0,960.1,
2026-05-15,0.0,1062.8,
2026-05-22,0.0,1014.5,
