week,margin_short,margin_long,ratio
2025/12/12,123700.0,1294500.0,10.46
2025/12/19,229900.0,1089100.0,4.74
2025/12/26,213900.0,1083100.0,5.06
2026-05-01,178300.0,1895200.0,0.0941
2026-05-15,157000.0,1472000.0,0.1067
2026/1/16,231200.0,1044800.0,4.52
2026/1/23,229000.0,1050200.0,4.59
2026/1/30,180100.0,1495800.0,8.31
2026/1/9,258900.0,982200.0,3.79
2026/2/13,307300.0,717500.0,2.33
2026/2/20,293000.0,700400.0,2.39
2026/2/27,346200.0,615600.0,1.78
2026/2/6,330100.0,776400.0,2.35
2026/3/13,233700.0,1368200.0,5.85
2026/3/20,262300.0,1282900.0,4.89
2026/3/27,682700.0,973700.0,1.43
2026/3/6,272100.0,1089200.0,4.0
2026/4/10,175600.0,1251600.0,7.13
2026/4/17,131600.0,1383400.0,10.51
2026/4/24,167700.0,1735900.0,10.35
2026/4/3,258700.0,1162400.0,4.49
2026/5/1,178300.0,1895200.0,10.63
